,Park_Name,Park_Code,state,Lat,Long,designation,activities,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
175,George Washington Birthplace National Monument,gewa,VA,38.19362603,-76.92079458,National Monument,"['Arts and Culture', 'Biking', 'Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Horse Trekking', 'Horseback Riding', 'Paddling', 'Junior Ranger Program', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Biking,Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Horse Trekking,Horseback Riding,Paddling,Junior Ranger Program,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,George Washington Carver National Monument,gwca,MO,36.9871322,-94.35522737,National Monument,"['Arts and Culture', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hands-On', 'Junior Ranger Program', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Arts and Culture,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hands-On,Junior Ranger Program,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,George Washington Memorial Parkway,gwmp,"DC,MD,VA",38.9628,-77.1495,Memorial Parkway,"['Arts and Culture', 'Live Music', 'Biking', 'Road Biking', 'Food', 'Picnicking', 'Wildlife Watching', 'Birdwatching']",Arts and Culture,Live Music,Biking,Road Biking,Food,Picnicking,Wildlife Watching,Birdwatching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Gettysburg National Military Park,gett,PA,39.81557366,-77.23246758,National Military Park,"['Arts and Culture', 'Auto and ATV', 'Scenic Driving', 'Biking', 'Camping', 'Food', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Bus/Shuttle Guided Tour', 'Hiking', 'Horse Trekking', 'Horseback Riding', 'Living History', 'Historic Weapons Demonstration', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Arts and Culture,Auto and ATV,Scenic Driving,Biking,Camping,Food,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Bus/Shuttle Guided Tour,Hiking,Horse Trekking,Horseback Riding,Living History,Historic Weapons Demonstration,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Gila Cliff Dwellings National Monument,gicl,NM,33.22715258,-108.2706711,National Monument,"['Astronomy', 'Camping', 'Car or Front Country Camping', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Horse Trekking', 'Horseback Riding', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Astronomy,Camping,Car or Front Country Camping,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Horse Trekking,Horseback Riding,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Glacier Bay National Park & Preserve,glba,AK,58.80086718,-136.8407579,National Park & Preserve,"['Arts and Culture', 'Cultural Demonstrations', 'Auto and ATV', 'ATV Off-Roading', 'Boating', 'Motorized Boating', 'Boat Tour', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Car or Front Country Camping', 'Climbing', 'Mountain Climbing', 'Fishing', 'Food', 'Flying', 'Guided Tours', 'Boat Tour', 'Hiking', 'Front-Country Hiking', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Kayaking', 'Whitewater Rafting', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Cultural Demonstrations,Auto and ATV,ATV Off-Roading,Boating,Motorized Boating,Boat Tour,Camping,Backcountry Camping,Canoe or Kayak Camping,Car or Front Country Camping,Climbing,Mountain Climbing,Fishing,Food,Flying,Guided Tours,Boat Tour,Hiking,Front-Country Hiking,Hunting and Gathering,Hunting,Paddling,Kayaking,Whitewater Rafting,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,
181,Glacier National Park,glac,MT,48.68414678,-113.8009306,National Park,"['Arts and Culture', 'Cultural Demonstrations', 'Live Music', 'Theater', 'Auto and ATV', 'Scenic Driving', 'Astronomy', 'Biking', 'Road Biking', 'Boating', 'Motorized Boating', 'Boat Tour', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Group Camping', 'Climbing', 'Mountain Climbing', 'Fishing', 'Food', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Bus/Shuttle Guided Tour', 'Boat Tour', 'Hands-On', 'Citizen Science', 'Hiking', 'Horse Trekking', 'Horse Camping (see also camping)', 'Horseback Riding', 'Paddling', 'Canoe or Kayak Camping', 'Stand Up Paddleboarding', 'Whitewater Rafting', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snow Play', 'Snowshoeing', 'Swimming', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Cultural Demonstrations,Live Music,Theater,Auto and ATV,Scenic Driving,Astronomy,Biking,Road Biking,Boating,Motorized Boating,Boat Tour,Camping,Backcountry Camping,Canoe or Kayak Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,Climbing,Mountain Climbing,Fishing,Food,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Bus/Shuttle Guided Tour,Boat Tour,Hands-On,Citizen Science,Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Paddling,Canoe or Kayak Camping,Stand Up Paddleboarding,Whitewater Rafting,Junior Ranger Program,Skiing,Cross-Country Skiing,Snow Play,Snowshoeing,Swimming,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,
182,Glen Canyon National Recreation Area,glca,"AZ,UT",36.9357464676887,-111.485594268007,National Recreation Area,"['Auto and ATV', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Boating', 'Jet Skiing', 'Boat Tour', 'Camping', 'Fishing', 'Food', 'Dining', 'Guided Tours', 'Self-Guided Tours - Auto', 'Boat Tour', 'Hands-On', 'Volunteer Vacation', 'Hiking', 'Paddling', 'Kayaking', 'Junior Ranger Program', 'Swimming', 'Shopping', 'Bookstore and Park Store']",Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Road Biking,Boating,Jet Skiing,Boat Tour,Camping,Fishing,Food,Dining,Guided Tours,Self-Guided Tours - Auto,Boat Tour,Hands-On,Volunteer Vacation,Hiking,Paddling,Kayaking,Junior Ranger Program,Swimming,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Glen Echo Park,glec,MD,38.96912315,-77.14012206,Park,"['Arts and Culture', 'Craft Demonstrations', 'Cultural Demonstrations', 'Live Music', 'Theater', 'Guided Tours']",Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Live Music,Theater,Guided Tours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Gloria Dei Church National Historic Site,glde,PA,39.93435005,-75.14398924,National Historic Site,['Museum Exhibits'],Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Golden Gate National Recreation Area,goga,CA,37.85982543,-122.6007386,National Recreation Area,"['Arts and Culture', 'Biking', 'Mountain Biking', 'Camping', 'Car or Front Country Camping', 'Group Camping', 'Fishing', 'Saltwater Fishing', 'Food', 'Dining', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Living History', 'Reenactments', 'Junior Ranger Program', 'Surfing', 'Wildlife Watching', 'Birdwatching', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Biking,Mountain Biking,Camping,Car or Front Country Camping,Group Camping,Fishing,Saltwater Fishing,Food,Dining,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Living History,Reenactments,Junior Ranger Program,Surfing,Wildlife Watching,Birdwatching,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Golden Spike National Historical Park,gosp,UT,41.61947508,-112.5242653,National Historical Park,"['Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Hiking', 'Front-Country Hiking', 'Living History', 'Reenactments', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hiking,Front-Country Hiking,Living History,Reenactments,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Governors Island National Monument,gois,NY,40.69164233,-74.01670765,National Monument,"['Biking', 'Road Biking', 'Food', 'Picnicking', 'Guided Tours', 'Junior Ranger Program', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Biking,Road Biking,Food,Picnicking,Guided Tours,Junior Ranger Program,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Grand Canyon National Park,grca,AZ,36.0001165336017,-112.12151636301,National Park,"['Arts and Culture', 'Cultural Demonstrations', 'Auto and ATV', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Biking', 'Boating', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Compass and GPS', 'Fishing', 'Food', 'Flying', 'Guided Tours', 'Hands-On', 'Volunteer Vacation', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Living History', 'Paddling', 'Whitewater Rafting', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Cultural Demonstrations,Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Boating,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Compass and GPS,Fishing,Food,Flying,Guided Tours,Hands-On,Volunteer Vacation,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Living History,Paddling,Whitewater Rafting,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,
189,Grand Canyon-Parashant National Monument,para,AZ,36.41535465,-113.6682797,National Monument,"['Auto and ATV', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Compass and GPS', 'Orienteering', 'Flying', 'Helicopter Flying', 'Fixed Wing Flying', 'Hiking', 'Backcountry Hiking', 'Horse Trekking', 'Horseback Riding', 'Junior Ranger Program', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching', 'Museum Exhibits']",Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Road Biking,Camping,Backcountry Camping,Car or Front Country Camping,Compass and GPS,Orienteering,Flying,Helicopter Flying,Fixed Wing Flying,Hiking,Backcountry Hiking,Horse Trekking,Horseback Riding,Junior Ranger Program,Snowshoeing,Wildlife Watching,Birdwatching,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Grand Portage National Monument,grpo,MN,47.99294217,-89.75573031,National Monument,"['Arts and Culture', 'Craft Demonstrations', 'Cultural Demonstrations', 'Camping', 'Backcountry Camping', 'Group Camping', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Front-Country Hiking', 'Living History', 'Reenactments', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Camping,Backcountry Camping,Group Camping,Guided Tours,Self-Guided Tours - Walking,Hiking,Front-Country Hiking,Living History,Reenactments,Junior Ranger Program,Skiing,Cross-Country Skiing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Grand Teton National Park,grte,WY,43.81853565,-110.7054666,National Park,"['Arts and Culture', 'Cultural Demonstrations', 'Auto and ATV', 'Scenic Driving', 'Biking', 'Road Biking', 'Boating', 'Motorized Boating', 'Sailing', 'Boat Tour', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Group Camping', 'RV Camping', 'Climbing', 'Rock Climbing', 'Mountain Climbing', 'Ice Climbing', 'Fishing', 'Freshwater Fishing', 'Fly Fishing', 'Food', 'Dining', 'Guided Tours', 'Self-Guided Tours - Auto', 'Boat Tour', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Off-Trail Permitted Hiking', 'Horse Trekking', 'Horse Camping (see also camping)', 'Horseback Riding', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snowmobiling', 'Snowshoeing', 'Water Skiing', 'Wildlife Watching', 'Birdwatching', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Cultural Demonstrations,Auto and ATV,Scenic Driving,Biking,Road Biking,Boating,Motorized Boating,Sailing,Boat Tour,Camping,Backcountry Camping,Canoe or Kayak Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Climbing,Rock Climbing,Mountain Climbing,Ice Climbing,Fishing,Freshwater Fishing,Fly Fishing,Food,Dining,Guided Tours,Self-Guided Tours - Auto,Boat Tour,Hiking,Backcountry Hiking,Front-Country Hiking,Off-Trail Permitted Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Hunting and Gathering,Hunting,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,Skiing,Cross-Country Skiing,Snowmobiling,Snowshoeing,Water Skiing,Wildlife Watching,Birdwatching,Shopping,Bookstore and Park Store,,,
192,Grant-Kohrs Ranch National Historic Site,grko,MT,46.41358923,-112.7467024,National Historic Site,"['Guided Tours', 'Hiking', 'Front-Country Hiking', 'Living History', 'Wildlife Watching', 'Birdwatching']",Guided Tours,Hiking,Front-Country Hiking,Living History,Wildlife Watching,Birdwatching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Great Basin National Park,grba,NV,38.94617378,-114.2579782,National Park,"['Auto and ATV', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Group Camping', 'RV Camping', 'Caving', 'Climbing', 'Fishing', 'Freshwater Fishing', 'Fly Fishing', 'Food', 'Dining', 'Picnicking', 'Guided Tours', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Off-Trail Permitted Hiking', 'Horse Trekking', 'Horse Camping (see also camping)', 'Horseback Riding', 'Hunting and Gathering', 'Gathering and Foraging', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Downhill Skiing', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Road Biking,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Caving,Climbing,Fishing,Freshwater Fishing,Fly Fishing,Food,Dining,Picnicking,Guided Tours,Hiking,Backcountry Hiking,Front-Country Hiking,Off-Trail Permitted Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Hunting and Gathering,Gathering and Foraging,Junior Ranger Program,Skiing,Cross-Country Skiing,Downhill Skiing,Snowshoeing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,
